skill_id,skill
1416,Balanced Iterative Reducing and Clustering using Hierarchies (BIRCH)
1417,Bar Chart
1418,Bash
1419,BASIC
1420,Basic Calculus
1421,Bayes Network
1422,Bayesian Estimator
1423,Bayesian Inference
1424,Bayesian Probability
1425,Bayesian Regression
1426,Bernoulli Regression
1427,BigML
1428,Bigram
1429,Binomial Regression
1430,BitKeeper
1431,Bluemix
1432,Boosting
1433,Box
1434,Business Intelligence
1439,Canonical-Correlation Analysis (CCA)
1440,Cassandra DB
1441,Central Limit Theorem
1442,Chart
1443,Chatbot
1444,Classification
1445,Cloud Application
1447,Cloud Database Management System
1448,Cloud Foundry
1449,Cloud Platform
1450,Cloud Technology
1451,CloudBolt
1452,CloudStack
1453,Cluster-computing Framework
1454,Clustering
1455,Clustering Using Representatives (CURE)
1457,Cocaine
1458,Collocation Extraction
1459,Column-oriented Database Management System
1460,Command Language
1461,Command-Line Interface
1462,Command-Line Interpreter
1463,Compound Term Processing
1464,Computer Accessibility
1466,Computer Systems Organization
1468,Computer-Assisted Reviewing
1469,Computer-Assisted Translation (CAT)
1470,Computing Platform
1471,Concept Mining
1472,Concordancer
1474,Concurrent Computing
1475,conda
1476,Conditional Random Field (CRF)
1477,Confluence
1478,Convolutional Neural Network (CNN)
1479,Convolutional Neural Network (ConvNet)
1480,Coreference Resolution
1481,Correlation
1482,CouchDB
1483,Creatio
1484,Critix Cloud
1485,Cross-validation
1487,CtrlS
1488,Custom Slide
1490,CVSNT
1491,D3.js
1492,Dash
1493,Dashboard
1495,Data Cleansing
1496,Data Engineering
1498,Data Preparation
1499,Data Science Tool
1500,Data Storytelling
1503,Data Wrangling
1505,Database Management System
1506,DataRobot
1507,Datawrapper
1508,Decision Support System
1509,Decision Tree
1510,Decomposition of Time Series
1512,DeepDream
1513,Degree of Freedom
1514,Density-Based Spatial Clustering of Applications with Noise (DBSCAN)
1515,Dependability
1516,Derivative
1518,Digital Geometry
1519,Digital Library
1520,Digital Marketing System
1521,DigitalOcean
1522,Dimensionality Reduction
1524,Distribution
1525,Divisive Clustering
1526,Document-oriented Database
1527,Document-oriented Database Management System
1529,Dropbox
1530,E Charts
1531,Echo State Network (ESN)
1532,Eclipse
1534,Electronic Design Automation
1535,Embedded System
1536,EMC Atmos
1537,Energy Consumption
1538,Engine Yard
1539,Ensemble
1540,Enterprise Information System
1541,Enthought Canopy
1543,Errors and Residuals
1544,Eucalyptus
1545,Example-Based Machine Translation (EBMT)
1546,Expectation-Maximization (EM)
1547,Exploratory Analysis
1548,Exploratory Data Analysis
1549,Exponential Smoothing
1550,Extract Transform Load (ETL)
1551,F-test
1552,Face Recognition
1553,Factor Analysis
1554,Feature Detection
1555,Feature Labs
1556,Feedback Neural Network (FNN)
1557,Financial Data Storytelling
1558,Flow Control Statement
1559,Flowchart
1560,Force.com
1562,Formatting
1563,Formula Function
1564,Forth
1566,Frequentist Inference
1567,Fujitsu
1568,FusionCharts
1569,Gated Recurrent Unit (GRU)
1570,GE Predix
1571,General Linear Model
1572,Generalized Linear Model
1573,Generative Adversarial Network (GAN)
1576,ggplot2
1578,GNU Bazaar
1579,GoGrid
1581,Google App Engine
1582,Google Cloud Platform
1583,Google Drive
1585,Google Workspace
1586,Gradient Descent
